Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk
1,Jannik Sinner [ITA],67,43.00%,44.10%,7.60%,4.00%,33.80%,58.00%,33.30%,6.6,2.8,24,39.6
2,Carlos Alcaraz [ESP],79,41.90%,41.70%,5.00%,4.00%,34.80%,53.90%,31.40%,6.6,2.8,30,56.3
3,Alexander Zverev [GER],81,37.40%,37.90%,6.40%,3.20%,30.00%,50.60%,22.10%,6.5,2.4,34.5,42.5
4,Taylor Fritz [USA],79,35.00%,36.20%,9.80%,3.70%,25.60%,51.60%,18.00%,6.3,2.2,37.5,52.4
5,Novak Djokovic [SRB],46,39.50%,40.80%,7.90%,3.20%,31.50%,53.20%,26.40%,6.5,2.6,46.5,66.6
6,Ben Shelton [USA],62,33.60%,33.80%,6.30%,3.00%,26.30%,46.70%,16.90%,6.2,2.1,47,61.5
7,Alex De Minaur [AUS],81,40.60%,41.30%,6.80%,3.60%,31.50%,54.50%,28.40%,6.6,2.7,45,55
8,Felix Auger Aliassime [CAN],70,36.80%,37.00%,6.50%,3.50%,29.50%,48.80%,19.20%,6.7,2.5,58,76.1
9,Lorenzo Musetti [ITA],61,39.10%,38.70%,5.40%,3.90%,30.60%,53.00%,25.80%,6.5,2.5,40,49.8
10,Casper Ruud [NOR],60,37.00%,38.30%,9.30%,3.70%,29.00%,50.50%,21.60%,6.4,2.3,50,68.7
11,Jack Draper [GBR],39,39.20%,40.30%,7.20%,3.10%,31.20%,52.40%,25.60%,6.6,2.6,42,69.3
12,Daniil Medvedev [RUS],67,39.50%,39.70%,4.80%,2.80%,32.50%,52.40%,25.60%,6.7,2.7,46,62.9
13,Alexander Bublik [KAZ],58,34.30%,35.00%,8.80%,3.70%,26.70%,47.60%,18.50%,6.2,2.1,47,70.3
14,Alejandro Davidovich Fokina [ESP],70,39.20%,40.30%,8.40%,3.70%,30.60%,52.90%,26.80%,6.5,2.5,44,64.1
15,Holger Rune [DEN],58,37.20%,38.20%,7.70%,3.20%,29.70%,49.90%,22.50%,6.3,2.3,48,59.4
16,Andrey Rublev [RUS],63,36.20%,37.90%,10.80%,3.80%,28.20%,49.20%,19.60%,6.5,2.3,53,75.5
17,Jiri Lehecka [CZE],66,35.20%,36.30%,8.80%,3.30%,27.40%,48.90%,19.80%,6.3,2.2,45,65.9
18,Karen Khachanov [RUS],56,37.50%,38.40%,7.80%,3.40%,28.20%,52.50%,22.70%,6.5,2.4,59.5,79.4
19,Jakub Mensik [CZE],54,35.70%,36.10%,6.80%,3.20%,28.90%,47.40%,18.70%,6.5,2.3,47.5,70.9
20,Tommy Paul [USA],42,39.90%,39.70%,5.30%,3.80%,31.50%,53.70%,27.90%,6.5,2.6,66,111.7
21,Francisco Cerundolo [ARG],65,40.60%,40.50%,4.60%,3.30%,33.40%,52.60%,28.90%,6.6,2.7,52,59.3
22,Flavio Cobolli [ITA],57,37.70%,38.20%,7.00%,3.60%,30.80%,49.00%,23.10%,6.5,2.4,52,77.4
23,Denis Shapovalov [CAN],54,38.50%,38.00%,4.00%,3.20%,31.60%,50.80%,26.20%,6.4,2.4,54,87.9
24,Joao Fonseca [BRA],47,36.60%,37.60%,9.00%,3.90%,29.30%,48.50%,21.30%,6.6,2.4,43,59.4
25,Tallon Griekspoor [NED],56,32.00%,33.10%,10.20%,3.40%,24.50%,44.90%,14.40%,6.2,2,47,62.5
26,Luciano Darderi [ITA],56,36.10%,37.80%,9.10%,2.70%,28.90%,48.10%,20.30%,6.4,2.3,72,83.6
27,Cameron Norrie [GBR],60,36.30%,38.30%,11.10%,3.60%,27.50%,51.60%,20.90%,6.4,2.3,55.5,81.9
28,Arthur Rinderknech [FRA],54,31.80%,32.50%,8.50%,3.20%,25.00%,43.60%,13.50%,6.2,2,53.5,80.1
29,Frances Tiafoe [USA],49,36.60%,38.20%,10.60%,3.90%,27.80%,49.60%,21.90%,6.5,2.4,59,87.4
30,Valentin Vacherot [MON],19,36.50%,38.40%,9.80%,3.00%,28.60%,51.50%,23.50%,6.3,2.3,30,131.3
31,Corentin Moutet [FRA],60,39.10%,38.40%,4.50%,3.90%,32.90%,49.50%,25.00%,6.6,2.6,46,60.7
32,Tomas Machac [CZE],42,36.00%,37.30%,10.80%,4.30%,27.10%,49.70%,21.90%,6.2,2.2,67,83.8
33,Brandon Nakashima [USA],61,34.80%,36.00%,9.50%,3.40%,27.40%,47.30%,16.90%,6.5,2.3,53,63.2
34,Stefanos Tsitsipas [GRE],40,35.80%,36.30%,6.40%,3.00%,28.20%,49.80%,19.20%,6.4,2.3,45,61.2
35,Alex Michelsen [USA],59,36.70%,37.20%,6.70%,3.30%,28.90%,49.50%,20.40%,6.6,2.4,64,85.4
36,Jaume Munar [ESP],55,38.80%,38.90%,5.80%,3.40%,30.80%,51.60%,25.30%,6.4,2.5,43.5,51.7
37,Ugo Humbert [FRA],45,34.90%,35.60%,9.30%,4.20%,26.80%,48.10%,19.20%,6.3,2.2,55,70.1
38,Learner Tien [USA],55,36.60%,37.70%,9.00%,3.60%,26.60%,53.60%,22.20%,6.3,2.3,45,64.7
39,Arthur Fils [FRA],36,38.40%,38.50%,7.00%,4.20%,29.90%,52.20%,22.50%,6.6,2.5,48,55.2
40,Zizou Bergs [BEL],59,36.50%,36.20%,5.90%,3.90%,29.10%,49.30%,20.50%,6.4,2.3,58,99.6
41,Gabriel Diallo [CAN],54,34.00%,33.70%,7.40%,4.10%,26.90%,45.80%,17.60%,6.2,2.1,45,88.6
42,Lorenzo Sonego [ITA],52,33.80%,33.40%,6.10%,3.60%,26.80%,45.90%,17.00%,6.2,2.1,50,67.4
43,Alexandre Muller [FRA],49,35.30%,36.40%,9.10%,3.50%,26.60%,49.40%,18.40%,6.3,2.2,49,72.9
44,Grigor Dimitrov [BUL],29,37.50%,37.90%,6.60%,3.40%,30.60%,50.10%,21.80%,6.4,2.4,56.5,72.6
45,Sebastian Baez [ARG],42,40.10%,40.20%,5.70%,3.60%,33.70%,50.40%,28.10%,6.4,2.5,69.5,89
46,Daniel Altmaier [GER],51,34.10%,34.20%,7.30%,3.50%,25.10%,47.80%,17.10%,6.3,2.1,59,65.8
47,Nuno Borges [POR],59,36.10%,37.20%,8.20%,3.10%,28.50%,49.00%,19.30%,6.6,2.4,62,83.3
48,Camilo Ugo Carabelli [ARG],44,36.50%,37.40%,7.10%,2.90%,30.00%,49.30%,20.60%,6.4,2.4,67,84.5
49,Fabian Marozsan [HUN],55,35.30%,36.40%,9.50%,3.70%,26.90%,49.70%,18.50%,6.5,2.3,47,69.2
50,Reilly Opelka [USA],48,28.60%,28.10%,8.70%,4.10%,20.70%,42.50%,8.40%,6.1,1.7,53,66.4
,Average,,36.90%,37.50%,7.60%,3.50%,29.00%,50.10%,21.80%,6.4,2.4,49,69.3
